artist,canciones
(g)i-dle,4
2pm,1
5 seconds of summer,1
a great big world,1
adele,2
agust d,10
ailee,1
aiowell,1
akmu,1
alejandro fernández,11
alejandro sanz,8
alessia cara,1
alesso,1
alex,1
alex ubago,1
alicia keys,1
alkilados,1
aloe blacc,2
alvaro carrillo,1
andrea bocelli,1
andres de leon,1
andrés cepeda,18
andy & lucas,1
arctic monkeys,2
ariana grande,8
ash island,1
astn,1
astro,1
ateez,5
ava max,1
aventura,5
b.i,1
b.o.b,1
bacilos,2
baekhyun,7
balming tiger,1
bayanni,1
bazzi,1
be'o,1
bebe rexha,1
becky g,1
ben e. king,1
benson boone,1
beret,1
beyoncé,1
bibi,1
bing crosby,1
bishop briggs,1
blackpink,1
bol4,1
boys town gang,1
bruno mars,20
bss,3
btob,3
bts,101
bustamante,1
c. tangana,2
cabas,1
cali y el dandee,4
calvin harris,1
camila,13
camila cabello,2
camilo,10
"car, the garden",1
cardellino,1
cardi b,2
carlos baute,1
carlos vives,4
carmen deleon,1
chanyeol,1
charlie puth,3
cheeze,1
childish gambino,1
chocquibtown,2
choi sang yeop,1
cimafunk,1
clean bandit,1
colde,2
coldplay,1
conan gray,2
creepy nuts,1
criss & ronny,1
cristian castro,2
crush,3
cultura profética,12
d.o.,4
dani labbé,1
daniel caesar,1
"daniel, me estás matando",14
danny ocean,3
darviin,3
david bisbal,1
day6,3
dean,11
dean martin,1
debi nova,1
demi lovato,1
destiny rogers,1
devin kennedy,1
dhruv,1
dino,2
dj khaled,2
doc 3v,1
doja cat,1
dokyeom,1
dominic fike,2
dove cameron,2
dpr artic,1
dpr ian,23
dpr live,13
dragon & caballero,2
drake,3
dua lipa,1
dvwn,4
dynamicduo,2
eaeon,1
"earth, wind & fire",1
eclipse,4
ed sheeran,23
eddie santiago,2
eddy kim,1
el hueycoyote,1
ella fitzgerald,1
elsa y elmar,1
eminem,1
enhypen,3
epik high,1
eric chou,1
eric nam,11
ethan low,1
etta james,2
exo,3
felipe ospina,1
fifth harmony,1
fifty fifty,1
fonseca,5
frank sinatra,1
frankie ruiz,3
frankie valli,1
french montana,1
fresto music,2
fujii kaze,4
fuse odg,1
gaho,1
gareth.t,1
gemini,4
gen neo,7
george ezra,1
gian marco,4
gianluca grignani,1
gilberto santa rosa,8
gloria estefan,1
goldfinger,1
got7,3
gray,1
greeicy,3
"grover washington, jr.",1
grupo niche,10
gsoul,1
halsey,1
hamilton,1
harry styles,7
heize,1
henry,1
herencia de timbiqui,2
hohyun,1
hoshi,1
hozier,1
huh yunjin,1
humbe,1
hwasa,4
hybs,2
hyuna,1
hyuna&dawn,1
héctor lavoe,1
ikon,2
imagine dragons,8
imase,1
irepelusa,1
iu,1
ive,2
iyaz,1
j balvin,1
j'calm,1
j-hope,14
jackson wang,1
jaehyun,1
james arthur,1
jarabe de palo,1
jason derulo,1
jason mraz,1
jay park,3
jencarlos,4
jennifer lopez,1
jeong eun ji,1
jeong sewoon,2
jerry rivera,4
jessi,1
jhin,1
jihyo,1
jimin,6
joan sebastian,1
joe arroyo,3
john travolta,1
johnny stimson,1
jonas blue,1
jonathan tilkin,1
jorge villamizar,1
josé y el toro,6
jowell & randy,1
juan luis guerra 4.40,10
juan pablo vega,3
juanes,8
jukjae,1
julieta venegas,3
julio jaramillo,1
julio meza,1
jung kook,14
jung seung hwan,3
junggigo,1
junha park,1
junny,5
justin bieber,1
justin timberlake,2
jvke,5
jósean log,10
k.will,2
kai,2
kaleo,2
kaleth morales,1
kany garcía,1
kapo,2
kasper,1
katseye,1
katy perry,1
kehlani,1
kent jones,1
keshi,12
khalid,4
kim feel,1
kimmuseum,1
kiss of life,2
kodak black,1
la quinta estacion,1
lady gaga,1
lady jane,1
lah pat,1
lalo ebratt,1
lalo rodriguez,1
las,1
lauv,1
le sserafim,5
lee hong gi,1
lee hyun,1
lee young ji,1
leehi,2
liam payne,2
lily allen,1
los panchos,2
louis armstrong,2
lp,1
luis fonsi,2
luis miguel,1
luisito ayala y la puerto rican power,1
lukas graham,3
luke chiang,5
macaco,1
mad clown,1
maelo ruiz,14
maite perroni,1
major lazer,1
mamamoo,4
mamamoo+,1
manuel medrano,12
manuel turizo,2
maná,5
marc anthony,4
marco mares,1
marian hill,1
mark ronson,1
maroon 5,13
marshmello,2
martina la peligrosa,5
martox,1
maréh,1
mauricio & palodeagua,1
max,4
maye,1
maía,2
mckay,1
melendi,1
michael bublé,5
micro tdh,14
miguel,1
mike bahía,11
mike posner,1
milky chance,1
milo j,1
mino,1
miranda!,1
mkto,1
mojito lite,1
mon laferte,2
monsieur periné,2
morat,39
måneskin,4
nabález,2
nacho,1
nanpa básico,1
nat king cole,1
natalia lacunza,1
naughty boy,1
nayeon,1
nct 127,1
nct dream,3
nct u,1
ne-yo,1
nek,1
newjeans,4
nicky jam,1
nico becerra,1
nicole zignago,1
night off,1
noel schajris,2
noelia,1
norbert,1
obie bermudez,1
offonoff,1
olivia newton-john,1
